10 46,2 53,7 51,5 46,2 52,1 50,5 
2460 41,3 51,5 52,1 45,1 50,5 49,4 
2470 40,8 51,0 52,1 45,1 51,0 49,4 
2480 41,3 51,0 52,6 44,0 50,5 49,9 
2490 41,3 51,0 52,1 45,1 50,5 49,4 
2500 41,3 50,5 52,1 45,1 50,5 49,4 
2510 41,3 50,5 52,6 45,1 51,5 49,4 
2520 41,3 51,0 52,1 45,1 50,5 49,4 
2530 41,9 51,5 52,1 45,1 51,5 49,4 
2540 41,9 50,5 52,1 45,1 51,0 49,4 
2550 41,3 51,0 51,5 45,1 51,0 49,4 
2560 41,9 51,0 51,5 45,1 51,0 49,4 
2570 41,3 50,5 51,5 45,1 51,0 49,4 
2580 40,8 51,5 52,1 45,1 51,5 49,4 
2590 41,3 50,5 51,5 45,1 51,5 49,4 
2600 41,3 51,5 52,1 45,1 51,5 49,4 
2610 41,3 51,0 51,5 45,1 50,5 49,9 
2620 41,3 51,0 51,5 45,1 51,5 49,4 
2630 41,3 51,0 52,1 45,1 50,5 49,4 
2640 40,8 51,5 51,5 45,1 50,5 49,4 
2650 40,8 51,5 52,1 45,1 50,5 49,4 
2660 40,8 51,0 52,1 45,1 50,5 49,4 
2670 41,3 50,5 52,1 45,1 50,5 49,4 
2680 40,8 51,5 52,1 45,1 50,5 49,4 
2690 40,8 51,5 52,1 45,1 51,5 49,9 
2700 41,3 50,5 52,6 45,1 51,5 49,4 
2710 40,8 50,5 52,1 45,1 50,5 49,4 
2720 40,8 50,5 52,1 45,1 50,5 49,4 
2730 41,3 50,5 52,1 45,1 50,5 49,4 
2740 41,3 51,5 51,5 45,1 51,5 49,9 
2750 41,3 50,5 51,5 45,1 50,5 49,4 
2760 41,3 51,5 52,1 45,1 50,5 49,4 
2770 41,9 50,5 52,1 45,1 50,5 49,4 
2780 41,3 50,5 51,5 45,1 50,5 49,4 
2790 41,9 51,0 51,5 45,1 51,0 49,4 
2800 40,8 50,5 51,5 45,1 50,5 49,4 
2810 41,3 50,5 52,1 45,1 50,5 49,4 
2820 40,8 50,5 52,1 45,1 50,5 49,4 
2830 41,3 51,5 52,1 45,1 50,5 49,4 
2840 40,8 51,0 51,5 45,1 51,0 49,4 
2850 41,3 51,0 51,5 45,1 50,5 49,4 
2860 40,8 51,0 52,1 45,1 51,5 49,4 
2870 41,3 50,5 51,5 45,1 51,0 49,4 
2880 40,8 50,5 52,1 45,1 51,5 49,4 
2890 41,3 50,5 51,5 45,1 51,0 49,4 
2900 41,3 51,0 51,5 45,1 51,0 49,4 
2910 41,3 50,5 52,1 45,1 51,0 49,4 
2920 40,8 51,5 52,1 44,5 51,0 49,4 
2930 41,3 50,5 52,1 45,1 50,5 49,4 
2940 40,8 51,0 52,1 45,1 50,5 49,4 
2950 41,3 51,0 52,1 45,1 51,0 49,4 
2960 41,3 50,5 51,5 45,1 50,5 49,4 
2970 40,8 50,5 52,1 45,1 50,5 49,4 
2980 40,8 51,5 51,5 45,1 50,5 49,4 
2990 41,3 50,5 52,1 45,1 50,5 49,4 
3000 40,8 50,5 52,1 45,1 51,5 49,4 
3010 40,8 50,5 52,1 45,1 51,0 49,4 
3020 41,3 50,5 52,1 45,1 51,5 49,4 
3030 40,8 50,5 51,5 45,1 50,5 49,4 
3040 40,8 51,5 51,5 45,1 50,5 49,4 
3050 41,9 50,5 51,5 45,1 50,5 49,4 
3060 41,3 50,5 51,5 45,1 51,0 48,9 
3070 41,3 50,5 51,5 44,5 50,5 49,4 
3080 41,3 51,0 52,1 45,1 50,5 49,4 
3090 40,8 50,5 51,5 45,1 50,5 49,4 
3100 40,8 50,5 52,1 45,1 51,0 49,4 
3110 40,8 50,5 52,1 45,1 50,5 49,4 
3120 40,8 50,5 52,1 45,1 50,5 49,4 
3130 40,8 50,5 51,5 45,1 50,5 49,4 
3140 40,8 50,5 51,5 45,1 50,5 49,4 
3150 41,3 50,5 52,1 45,1 50,5 49,4 
3160 40,8 50,5 52,6 44,5 51,5 49,4 
3170 40,8 50,5 52,1 45,1 49,9 49,4 
3180 41,3 51,0 52,6 45,1 50,5 49,4 
3190 41,3 50,5 51,5 45,1 50,5 49,4 
3200 41,3 51,0 52,1 45,1 50,5 49,4 
3210 41,3 51,5 52,1 45,1 51,5 49,4 
3220 41,3 50,5 52,1 45,1 50,5 49,4 
3230 40,8 51,5 52,1 45,1 50,5 49,4 
3240 41,3 51,0 52,1 45,1 50,5 49,4 
3250 41,3 51,5 51,5 45,1 50,5 49,4 
3260 41,3 50,5 52,1 45,1 50,5 49,4 
3270 40,8 51,5 52,6 45,1 50,5 49,4 
3280 40,8 51,5 51,5 44,5 50,5 49,4 
3290 40,8 51,0 52,6 45,1 50,5 48,9 
3300 40,8 51,0 52,1 45,1 50,5 49,4 
3310 41,3 51,0 52,1 45,6 50,5 49,4 
3320 41,3 50,5 52,1 45,1 50,5 49,4 
3330 41,3 51,0 52,6 45,1 50,5 49,4 
3340 41,3 51,5 52,1 45,1 50,5 49,4 
3350 41,3 50,5 52,1 45,1 50,5 49,4 
3360 40,8 51,0 52,1 45,1 50,5 49,4 
3370 41,3 50,5 51,5 45,1 50,5 49,4 
3380 41,3 51,0 52,1 45,1 50,5 49,4 
3390 40,8 50,5 52,6 45,1 50,5 49,4 
3400 41,3 50,5 52,1 45,1 50,5 48,3 
3410 41,3 51,0 52,1 45,1 50,5 49,4 
3420 41,3 51,0 52,1 45,1 50,5 48,9 
3430 41,3 50,5 51,5 45,1 50,5 48,3 
3440 40,8 51,0 52,1 45,1 49,4 49,4 
3450 40,8 51,0 52,1 45,1 51,0 48,3 
3460 40,8 50,5 52,1 45,1 49,9 48,9 
3470 41,3 51,0 52,6 45,1 50,5 48,3 
3480 40,8 50,5 52,1 45,1 50,5 48,9 
3490 40,8 51,5 52,1 44,5 50,5 48,3 
3500 41,3 50,5 52,1 45,1 50,5 48,3 
3510 40,8 51,0 52,1 44,5 49,9 49,4 
3520 41,3 51,0 52,6 45,1 49,9 48,3 
3530 41,3 50,5 52,1 45,1 49,4 49,4 
3540 41,9 50,5 52,1 45,1 49,4 48,9 
3550 41,3 50,5 52,1 44,5 50,5 49,4 
3560 41,3 51,0 52,1 45,1 50,5 48,3 
3570 41,9 50,5 52,1 44,0 50,5 48,3 
3580 40,8 50,5 51,5 45,1 50,5 48,9 
3590 41,3 51,0 52,1 44,0 50,5 48,3 
3600 40,8 51,5 52,1 45,1 50,5 48,3 
3610 41,3 51,5 51,5 45,1 50,5 49,4 
3620 40,8 50,5 52,1 44,5 49,9 48,3 
3630 40,8 51,0 51,5 44,5 49,4 48,3 
3640 41,9 50,5 51,5 45,1 49,9 48,3 
3650 40,8 50,5 51,5 45,1 50,5 48,3 
3660 40,8 50,5 52,1 45,1 50,5 48,3 
3670 40,8 50,5 52,1 45,1 50,5 49,4 
3680 40,8 51,5 52,1 44,5 50,5 49,4 
3690 40,8 49,9 51,5 44,5 49,9 49,4 
3700 41,3 50,5 52,1 45,1 49,9 48,3 
3710 40,8 50,5 51,5 44,0 49,9 49,4 
3720 40,8 50,5 52,1 44,5 49,9 48,3 
3730 41,3 51,0 51,5 44,0 49,9 49,4 
3740 40,8 51,0 52,1 45,1 50,5 48,3 
3750 41,3 51,5 52,1 45,1 50,5 48,3 
3760 40,8 50,5 51,5 45,1 50,5 49,4 
3770 41,3 51,0 52,1 44,5 50,5 48,9 
3780 40,8 51,5 52,1 45,1 49,9 48,3 
3790 41,9 51,0 51,5 45,1 49,4 48,3 
3800 41,3 51,5 51,5 45,1 50,5 48,9 
3810 41,3 51,5 51,5 44,5 50,5 48,3 
3820 41,3 51,5 52,1 45,1 49,9 48,9 
3830 40,8 50,5 52,1 45,1 50,5 48,9 
3840 40,8 50,5 52,1 44,5 49,4 48,9 
3850 41,3 50,5 52,1 45,1 49,9 48,9 
3860 41,3 50,5 52,1 45,1 50,5 48,9 
3870 40,8 51,0 51,5 45,1 50,5 48,9 
3880 41,3 51,0 52,1 45,1 49,9 48,3 
3890 41,3 50,5 52,6 44,5 50,5 48,3 
3900 40,8 51,5 52,1 44,0 50,5 48,3 
3910 41,3 51,0 52,1 45,1 49,9 48,9 
3920 40,8 51,0 52,1 45,1 50,5 48,3 
3930 40,8 51,0 51,5 44,5 50,5 48,3 
3940 40,8 50,5 51,5 45,1 49,9 48,3 
3950 40,8 51,0 52,1 45,1 50,5 48,3 
3960 40,8 50,5 52,1 45,1 50,5 48,3 
3970 40,8 50,5 51,5 44,5 49,9 48,3 
3980 40,8 50,5 52,1 44,5 49,9 48,9 
3990 40,8 51,0 52,1 44,5 49,9 48,3 
4000 40,8 51,0 51,5 45,1 50,5 48,3 
4010 40,8 51,0 51,5 44,5 50,5 48,3 
4020 40,8 51,0 52,1 44,5 49,4 48,3 
4030 40,8 51,5 51,5 45,1 49,9 48,3 
4040 40,8 51,5 51,5 44,5 49,9 48,9 
4050 40,8 51,0 51,5 45,1 50,5 48,3 
4060 40,8 51,0 52,1 44,0 50,5 48,9 
4070 40,8 49,9 52,1 44,0 50,5 49,4 
4080 40,8 50,5 52,1 44,5 49,9 48,9 
4090 40,8 51,0 51,5 44,0 50,5 48,9 
4100 41,3 50,5 51,5 44,5 50,5 48,9 
4110 40,8 50,5 51,5 45,1 49,9 48,3 
4120 40,8 51,0 52,1 44,0 50,5 48,9 
4130 40,8 50,5 52,1 44,5 50,5 49,4 
4140 40,8 50,5 51,5 45,1 49,9 48,3 
4150 40,8 50,5 51,5 45,1 50,5 48,3 
4160 40,8 50,5 51,5 44,5 50,5 48,3 
4170 40,8 51,0 52,1 45,1 49,9 48,3 
4180 40,8 50,5 52,1 44,5 50,5 48,9 
4190 40,8 50,5 51,5 45,1 49,9 48,3 
4200 41,3 50,5 52,1 44,5 50,5 48,3 
4210 41,9 50,5 51,5 45,1 49,9 48,3 
4220 41,3 50,5 52,1 44,5 49,4 48,3 
4230 41,3 50,5 51,5 45,1 50,5 48,9 
4240 40,8 50,5 52,1 44,5 50,5 48,9 
4250 41,3 50,5 52,1 44,5 49,9 48,3 
4260 41,3 50,5 51,5 44,5 49,9 48,9 
4270 41,3 50,5 52,1 44,5 50,5 48,9 
4280 40,8 50,5 51,5 45,1 49,9 48,3 
4290 41,3 51,0 51,5 45,1 49,9 48,9 
4300 40,8 50,5 51,5 44,0 49,4 48,3 
4310 40,8 51,5 51,5 44,5 49,9 48,3 
4320 40,8 51,0 51,5 45,1 50,5 48,3 
4330 40,8 51,0 51,5 44,5 50,5 48,3 
4340 41,3 50,5 51,5 45,1 49,9 48,9 
4350 40,8 50,5 52,1 44,5 49,9 48,3 
4360 41,3 51,5 51,5 44,5 50,5 48,3 
4370 40,8 50,5 51,5 44,5 50,5 48,3 
4380 40,8 51,0 52,1 44,0 50,5 49,4 
4390 41,3 50,5 51,5 44,5 49,9 48,3 
4400 40,8 50,5 51,5 44,5 49,9 48,9 
4410 40,8 50,5 51,5 44,5 50,5 48,3 
4420 40,8 50,5 51,5 44,5 49,4 48,3 
4430 40,8 50,5 51,5 44,5 49,9 48,3 
4440 40,8 50,5 51,5 44,0 50,5 48,3 
4450 41,3 50,5 51,5 45,1 49,9 48,3 
4460 40,8 51,0 51,5 45,1 49,9 48,3 
4470 41,3 50,5 52,1 45,1 50,5 48,3 
4480 40,8 50,5 51,5 44,0 50,5 48,3 
4490 40,8 51,0 51,5 45,1 49,4 48,3 
4500 40,8 51,0 51,5 44,5 50,5 48,9 
4510 40,8 51,0 51,5 44,5 49,4 48,3 
4520 41,3 50,5 51,5 44,5 49,9 48,3 
4530 41,3 50,5 51,5 44,5 50,5 48,3 
4540 41,3 50,5 51,5 45,1 49,4 48,9 
4550 41,3 50,5 51,5 44,0 49,9 48,3 
4560 40,8 51,5 51,5 45,1 50,5 48,9 
4570 40,8 50,5 51,5 44,0 49,9 48,3 
4580 41,9 50,5 52,1 44,0 49,9 48,3 
4590 40,8 50,5 51,5 44,0 49,9 48,3 
4600 40,8 51,0 51,5 44,0 49,9 48,3 
4610 40,8 51,5 51,5 44,5 49,9 48,3 
4620 41,3 50,5 52,1 45,1 49,9 48,9 
4630 40,8 50,5 51,5 44,5 49,4 49,4 
4640 41,3 51,0 51,5 44,5 49,4 48,3 
4650 40,8 50,5 51,5 44,5 49,9 48,9 
4660 40,8 51,0 51,5 44,5 50,5 48,3 
4670 40,8 50,5 52,1 44,5 49,9 48,3 
4680 40,8 51,5 52,1 44,5 49,9 48,3 
4690 40,8 50,5 51,5 44,5 50,5 48,3 
4700 40,8 50,5 51,5 44,5 49,4 48,3 
4710 40,8 50,5 51,5 44,0 50,5 48,3 
4720 40,8 50,5 51,5 44,0 49,9 48,3 
4730 40,8 51,0 51,5 44,5 49,9 48,3 
4740 40,8 51,0 51,5 44,5 49,4 48,3 
4750 41,3 50,5 51,5 45,1 50,5 48,3 
4760 41,3 51,0 51,5 44,5 50,5 48,9 
4770 41,3 50,5 51,5 44,5 49,4 49,4 
4780 40,8 49,9 52,1 45,1 49,9 48,9 
4790 40,8 50,5 52,1 44,5 50,5 48,9 
4800 40,8 51,0 51,5 45,1 50,5 48,3 
4810 40,8 50,5 52,1 45,1 49,4 48,9 
4820 40,8 49,9 51,5 44,0 49,9 48,3 
4830 40,8 50,5 51,5 44,0 50,5 49,4 
4840 40,8 50,5 51,5 44,5 50,5 48,3 
4850 40,8 50,5 52,1 44,5 49,9 48,3 
4860 41,3 50,5 51,5 44,5 49,4 48,3 
4870 40,8 50,5 51,5 44,5 49,4 48,3 
4880 40,8 50,5 51,5 44,5 49,4 48,3 
4890 40,8 51,0 51,5 44,5 49,4 48,3 
4900 40,8 50,5 51,5 44,0 49,9 48,3 
4910 40,8 49,9 51,5 44,5 49,4 48,3 
4920 40,8 50,5 51,5 44,5 49,9 48,3 
4930 40,8 50,5 51,5 44,5 49,4 48,3 
4940 40,8 50,5 52,1 45,1 49,9 48,3 
4950 40,8 50,5 52,1 44,5 49,9 48,3 
4960 40,8 50,5 52,1 44,0 49,9 48,3 
4970 40,8 50,5 51,5 44,5 49,4 48,3 
4980 40,8 50,5 52,1 45,1 49,9 48,3 
4990 40,8 50,5 51,5 44,5 49,9 48,3 
5000 40,8 50,5 51,5 44,5 49,4 48,3 
5010 40,8 50,5 52,1 44,0 50,5 48,3 
5020 40,8 50,5 51,5 45,1 49,9 48,3 
